# title	topic	difficulty	answer (Markdown)	tags
Find the maximum number in a list using Stream API.	Java Streams	EASY	Use `numbers.stream().max(Integer::compareTo)`; it returns an `Optional<Integer>`. Time: O(n). Space: O(1). Handle an empty list with `orElse`, `orElseThrow`, or by returning the Optional.	java,streams,aggregation
Find the minimum number in a list using Stream API.	Java Streams	EASY	Use `numbers.stream().min(Integer::compareTo)`; it returns an `Optional<Integer>`. Time: O(n). Space: O(1). Decide explicitly how an empty list should be handled.	java,streams,aggregation
Count strings that start with a specific letter using Stream.	Java Streams	EASY	Use `strings.stream().filter(s -> s.startsWith(prefix)).count()`. The result is a `long`. Time: O(n) string checks. Filter null elements first if the input may contain nulls.	java,streams,filtering
Convert a list of strings to uppercase using Stream API.	Java Streams	EASY	Use `strings.stream().map(s -> s.toUpperCase(Locale.ROOT)).toList()`. Time: O(total characters). Use `Locale.ROOT` for locale-independent results and decide how nulls should be treated.	java,streams,mapping
Find the sum of all even numbers in a list using Stream.	Java Streams	EASY	Use `numbers.stream().filter(n -> n % 2 == 0).mapToInt(Integer::intValue).sum()`. Time: O(n). Space: O(1), excluding the source list. An empty stream sums to zero.	java,streams,filtering,aggregation
Remove duplicate elements from a list using Stream.	Java Streams	EASY	Use `values.stream().distinct().toList()`. Encounter order is preserved for ordered streams. Time is typically O(n), with O(n) additional space for seen values. Correct equality depends on `equals` and `hashCode`.	java,streams,distinct
Sort a list of integers in ascending order using Stream.	Java Streams	EASY	Use `numbers.stream().sorted().toList()`. Time: O(n log n). Space: O(n). The source list is not modified; null values require filtering or a null-aware comparator.	java,streams,sorting
Sort a list of integers in descending order using Stream.	Java Streams	EASY	Use `numbers.stream().sorted(Comparator.reverseOrder()).toList()`. Time: O(n log n). Space: O(n). Filter nulls or provide a null-aware comparator when needed.	java,streams,sorting
Find the first element of a list using Stream.	Java Streams	EASY	Use `values.stream().findFirst()`, which returns an `Optional<T>`. It respects encounter order, including on parallel ordered streams. Time is O(1) for a sequential list stream in the usual case.	java,streams,optional
Find any element of a list using Stream.	Java Streams	EASY	Use `values.stream().findAny()`. It returns an `Optional<T>` and may select any element, which allows better parallel execution. Do not rely on it returning the first element.	java,streams,optional,parallel
Check whether a list contains a specific element using Stream.	Java Streams	EASY	Use `values.stream().anyMatch(target::equals)`. It short-circuits after a match. Time: O(n) worst case; space: O(1). Use `Objects.equals(value, target)` when nulls are possible.	java,streams,matching
Count occurrences of each word using groupingBy.	Java Streams	MEDIUM	Use `words.stream().collect(Collectors.groupingBy(Function.identity(), Collectors.counting()))`. Time: O(n). Space: O(k), where k is the number of distinct words. Normalize case first if counting should be case-insensitive.	java,streams,collectors,grouping
Find the longest string in a list using Stream.	Java Streams	EASY	Use `strings.stream().max(Comparator.comparingInt(String::length))`. It returns an Optional. Time: O(n). For equal lengths, this keeps one matching value; filter nulls before measuring length.	java,streams,comparator
Find the shortest string in a list using Stream.	Java Streams	EASY	Use `strings.stream().min(Comparator.comparingInt(String::length))`. It returns an Optional. Time: O(n). Define whether empty strings are valid and filter nulls if necessary.	java,streams,comparator
Partition numbers into even and odd using Stream.	Java Streams	MEDIUM	Use `numbers.stream().collect(Collectors.partitioningBy(n -> n % 2 == 0))`. The result is a `Map<Boolean,List<Integer>>`; true contains evens. Time: O(n). Space: O(n).	java,streams,collectors,partitioning
Convert integers into a comma-separated string using Stream.	Java Streams	EASY	Use `numbers.stream().map(String::valueOf).collect(Collectors.joining(","))`. Time and space are O(total output length). An empty stream produces an empty string.	java,streams,collectors,joining
Find duplicate elements in a list using Stream.	Java Streams	MEDIUM	Use a frequency map, then retain entries whose count is greater than one: `groupingBy(identity(), counting())`. This avoids unsafe mutation inside the stream. Time: O(n). Space: O(k).	java,streams,duplicates,grouping
Flatten a list of lists into a single list using Stream.	Java Streams	MEDIUM	Use `nested.stream().flatMap(Collection::stream).toList()`. Time and output space are O(m), where m is the total number of elements. Filter null inner lists if the input permits them.	java,streams,flatmap
Find the second highest number in a list using Stream.	Java Streams	MEDIUM	Use `numbers.stream().distinct().sorted(Comparator.reverseOrder()).skip(1).findFirst()`. Time: O(n log n); space: O(n). `distinct()` means second highest distinct value; omit it if duplicates count as positions.	java,streams,sorting,distinct
Find the second lowest number in a list using Stream.	Java Streams	MEDIUM	Use `numbers.stream().distinct().sorted().skip(1).findFirst()`. Time: O(n log n); space: O(n). The result is empty when fewer than two distinct values exist.	java,streams,sorting,distinct
Find common elements between two lists using Stream.	Java Streams	MEDIUM	Create a `HashSet` from the second list, then use `first.stream().filter(secondSet::contains).distinct().toList()`. Expected time: O(n+m). Space: O(m). Define whether duplicate results should be retained.	java,streams,sets,filtering
Merge two lists into one using Stream.	Java Streams	EASY	Use `Stream.concat(first.stream(), second.stream()).toList()`. Time and output space: O(n+m). The resulting list is unmodifiable with `Stream.toList()`; collect into an `ArrayList` if mutation is required.	java,streams,concat
Find distinct characters in a string using Stream.	Java Streams	MEDIUM	Use `text.codePoints().distinct().mapToObj(Character::toString).toList()`. Code points handle supplementary Unicode characters better than `chars()`. Time: O(n); space: O(k).	java,streams,strings,unicode
Reverse a list using Stream.	Java Streams	MEDIUM	Streams have no reverse operation. Use `IntStream.range(0, list.size()).mapToObj(i -> list.get(list.size()-1-i)).toList()` for a random-access list. Time: O(n) for ArrayList but O(n²) for LinkedList.	java,streams,lists
Find the frequency of each character in a string using Stream.	Java Streams	MEDIUM	Use `text.codePoints().mapToObj(Character::toString).collect(groupingBy(identity(), counting()))`. Time: O(n). Space: O(k). Using code points avoids splitting supplementary Unicode characters.	java,streams,strings,grouping
Group employees by department using Stream.	Java Streams	MEDIUM	Use `employees.stream().collect(Collectors.groupingBy(Employee::getDepartment))`. It returns a map from department to employees. Time: O(n); space: O(n). Decide how null departments should be represented.	java,streams,employees,grouping
Find the highest-paid employee in each department.	Java Streams	HARD	Use `groupingBy(Employee::getDepartment, maxBy(comparing(Employee::getSalary)))`. Values are Optionals because a downstream group may conceptually be empty. Time: O(n); space: O(d), where d is departments.	java,streams,employees,grouping,aggregation
Count employees in each department.	Java Streams	MEDIUM	Use `employees.stream().collect(groupingBy(Employee::getDepartment, counting()))`. Values are `Long`. Time: O(n); space: O(d). Use a sorted map supplier if deterministic department ordering is required.	java,streams,employees,grouping
Find the average employee salary using Stream.	Java Streams	EASY	Use `employees.stream().mapToDouble(Employee::getSalary).average()`. It returns `OptionalDouble`. Time: O(n); space: O(1). Consider `BigDecimal` instead of double for exact financial calculations.	java,streams,employees,aggregation
Find the top three highest numbers in a list.	Java Streams	MEDIUM	Use `numbers.stream().sorted(Comparator.reverseOrder()).limit(3).toList()`. Time: O(n log n); space: O(n). Add `distinct()` if the requirement means three distinct values. A bounded heap is better for very large inputs.	java,streams,sorting,top-n
Find the top three lowest numbers in a list.	Java Streams	MEDIUM	Use `numbers.stream().sorted().limit(3).toList()`. Time: O(n log n); space: O(n). Add `distinct()` for distinct values. A size-three max heap reduces large-input work to O(n log 3).	java,streams,sorting,top-n
Skip the first five elements and return the rest.	Java Streams	EASY	Use `values.stream().skip(5).toList()`. Time: O(n) to materialize the result; space: O(max(0,n-5)). If the stream contains fewer than five elements, the result is empty.	java,streams,slicing
Limit a list to its first five elements.	Java Streams	EASY	Use `values.stream().limit(5).toList()`. It is short-circuiting and returns all elements when fewer than five exist. The result preserves encounter order.	java,streams,slicing
Convert integers to their squares using Stream.	Java Streams	EASY	Use `numbers.stream().map(n -> n * n).toList()` or `mapToInt(n -> n * n)`. Time: O(n); space: O(n) for a collected result. Use long arithmetic if integer overflow is possible.	java,streams,mapping
Remove null values from a list using Stream.	Java Streams	EASY	Use `values.stream().filter(Objects::nonNull).toList()`. Time: O(n); space: O(number of non-null values). The source list remains unchanged.	java,streams,filtering,null
Concatenate two streams into one.	Java Streams	EASY	Use `Stream.concat(first, second)`. The resulting stream is lazy and must be consumed once; consuming it closes both inputs. Avoid reusing either source stream afterward.	java,streams,concat
Generate ten random numbers using Stream API.	Java Streams	EASY	Use `new Random().ints(10, min, max).boxed().toList()` or `ThreadLocalRandom.current().ints(10,min,max)`. The upper bound is exclusive. Use a seeded Random when tests require repeatable values.	java,streams,random
Check whether all list elements are even.	Java Streams	EASY	Use `numbers.stream().allMatch(n -> n % 2 == 0)`. It short-circuits at the first odd value. For an empty stream it returns true by vacuous truth, which should be considered in business rules.	java,streams,matching
Check whether any list element is odd.	Java Streams	EASY	Use `numbers.stream().anyMatch(n -> n % 2 != 0)`. It short-circuits after the first odd number. An empty stream returns false.	java,streams,matching
Count the total elements in a list using Stream.	Java Streams	EASY	Use `values.stream().count()`, which returns long. For an existing Collection, `values.size()` is simpler and usually O(1); use `count()` when the source is a stream pipeline.	java,streams,aggregation
Find the average of a list of integers.	Java Streams	EASY	Use `numbers.stream().mapToInt(Integer::intValue).average()`. It returns `OptionalDouble`; handle an empty list explicitly. Time: O(n); space: O(1).	java,streams,aggregation
Find the product of all list elements.	Java Streams	MEDIUM	Use `numbers.stream().reduce(1, (a,b) -> a*b)`. Time: O(n); space: O(1). The identity makes an empty stream return 1. Use long or BigInteger when overflow matters.	java,streams,reduce
Find palindrome strings in a list.	Java Streams	MEDIUM	Use `words.stream().filter(w -> w.contentEquals(new StringBuilder(w).reverse())).toList()`. Time: O(total characters); additional space is proportional to the longest word. Normalize case if matching should be case-insensitive.	java,streams,strings,palindrome
Group anagrams from a list of words.	Java Streams	HARD	Group by a canonical key: lowercase each word, sort its characters, and collect with `groupingBy(keyFunction)`. Time: O(total k log k) for word lengths k; space: O(total input). Define case and Unicode normalization rules.	java,streams,strings,anagram,grouping
Filter prime numbers from a list.	Algorithms	HARD	Use `numbers.stream().filter(PrimeChecker::isPrime).toList()`. `isPrime` rejects n<2 and tests divisors through `sqrt(n)`, preferably only up to `d <= n/d`. Time: O(n√m) worst case for n values bounded by m.	java,streams,algorithms,prime
Find numbers greater than a threshold.	Java Streams	EASY	Use `numbers.stream().filter(n -> n > threshold).toList()`. Time: O(n); output space: O(k). Clarify whether the boundary should be strictly greater than or greater than or equal.	java,streams,filtering
Map employees to their names.	Java Streams	EASY	Use `employees.stream().map(Employee::getName).toList()`. Time: O(n); output space: O(n). Add `distinct()` only when duplicate employee names should be removed.	java,streams,employees,mapping
Create a map from employee ID to employee name.	Java Streams	MEDIUM	Use `employees.stream().collect(toMap(Employee::getId, Employee::getName))`. Duplicate IDs throw an exception; provide a merge function such as `(first, second) -> first` when a duplicate policy is defined.	java,streams,employees,maps
Group transactions by type and sum their amounts.	Java Streams	HARD	For integer amounts use `groupingBy(Transaction::getType, summingLong(Transaction::getAmount))`. For money represented by BigDecimal, use `groupingBy(type, reducing(BigDecimal.ZERO, amount, BigDecimal::add))`. Time: O(n); space: O(types).	java,streams,transactions,grouping,aggregation
Parallelize a stream and demonstrate parallel processing.	Java Concurrency	HARD	Use `values.parallelStream().map(this::cpuBoundOperation).toList()`. Parallel streams use the common ForkJoinPool; order-sensitive operations and shared mutable state can remove benefits or cause bugs. Benchmark realistic CPU-bound workloads before choosing parallel execution.	java,streams,parallel,concurrency
